Country,Commodity,Price_STD
ACEH,Chili (bird's eye),0.8531271789584347
ACEH,"Chili (bird's eye, green)",0.8541918910745006
ACEH,"Chili (bird's eye, red)",0.9725224933131366
ACEH,Chili (red),1.2204863309033134
ACEH,"Chili (red, curly)",1.3097469236856283
ACEH,"Chili (red, large)",1.4727615783509111
ACEH,Eggs,0.20491439915054413
ACEH,Eggs (broiler),0.20939087328516992
ACEH,Garlic,0.5854188523918278
ACEH,Garlic (medium),0.577814367399384
ACEH,Meat (beef),0.5588439124113785
ACEH,"Meat (beef, first quality)",0.5904063248963226
ACEH,"Meat (beef, second quality)",0.6080591000251747
ACEH,Meat (chicken),0.26715944499806515
ACEH,"Meat (chicken, broiler)",0.26709211550212025
ACEH,Oil (vegetable),0.16934018375759793
ACEH,"Oil (vegetable, bulk)",0.14834401467482602
ACEH,"Oil (vegetable, packaged)",0.24892794193282947
ACEH,Onions (shallot),0.5903630216487837
ACEH,"Onions (shallot, medium)",0.5538865840452794
ACEH,Rice,0.06653145568965736
ACEH,Rice (high quality),0.06296204904294668
ACEH,Rice (low quality),0.06447104698292622
ACEH,Rice (medium quality),0.06275249363870301
ACEH,Sugar,0.1158010631297161
ACEH,Sugar (local),0.08986688790461556
ACEH,Sugar (premium),0.15521927120012738
AHUACHAPAN,Beans (red),23.066750632010685
AHUACHAPAN,Beans (silk red),25.752970127962058
AHUACHAPAN,Maize (white),4.280641064608931
AHUACHAPAN,Rice,9.177086899412794
ASHANTI,Cassava,19.099511880096856
ASHANTI,Cowpeas,0.5651479329593118
ASHANTI,Cowpeas (white),27.29766844134006
ASHANTI,Eggplants,29.733408893438344
ASHANTI,Eggs,30.05070261768421
ASHANTI,"Fish (mackerel, fresh)",24.278953861543567
ASHANTI,Gari,22.566422676963278
ASHANTI,Maize,20.41748376811316
ASHANTI,Maize (yellow),25.705665168937465
ASHANTI,Meat (chicken),23.637408423223807
ASHANTI,"Meat (chicken, local)",21.7253168170086
ASHANTI,Millet,25.843463338477303
ASHANTI,Onions,19.42241264036437
ASHANTI,Peppers (dried),14.535732066739426
ASHANTI,Peppers (fresh),32.09634029095878
ASHANTI,Plantains (apem),10.826041616552805
ASHANTI,Plantains (apentu),3.8500406952864257
ASHANTI,Rice (imported),27.145732596281814
ASHANTI,Rice (local),17.233856191719813
ASHANTI,Rice (paddy),15.611508080433953
ASHANTI,Sorghum,27.287154333988447
ASHANTI,Soybeans,13.912883845146283
ASHANTI,Tomatoes (local),28.360262518752574
ASHANTI,Tomatoes (navrongo),16.666767679270674
ASHANTI,Yam,54.56141774157105
ASHANTI,Yam (puna),69.71650665596506
Abia,Bread,0.47662446079001924
Abia,"Cassava meal (gari, yellow)",47.77213718619647
Abia,Cowpeas (brown),76.65440912065175
Abia,Cowpeas (white),69.20199628625512
Abia,Fuel (diesel),0.41420792571804393
Abia,Fuel (petrol-gasoline),0.07002671277898195
Abia,Gari (white),44.909935812805045
Abia,Groundnuts (shelled),73.97281327556308
Abia,Maize (white),27.386389297619306
Abia,Maize (yellow),29.7234634168984
Abia,Millet,48.39098147317808
Abia,Oil (palm),13.697670570978056
Abia,Rice (imported),34.48273497734045
Abia,Rice (local),50.63161471160728
Abia,Sorghum (brown),48.81502141927891
Abia,Sorghum (white),51.761618926754316
Abia,Yam,85.02722675178379
Abidjan,Cassava (fresh),0.07204831046568022
Abidjan,Cassava meal (attieke),0.12128874186877195
Abidjan,Cornstarch,0.038455011101128
Abidjan,Fish (appolo),0.3106891980384542
Abidjan,Fish (dry),0.38820097887563293
Abidjan,Fish (fresh),0.3888273306211569
Abidjan,Fish (smoked),0.333077836354241
Abidjan,Maize,0.07694071191577133
Abidjan,Meat (beef),0.2965766981319694
Abidjan,Oil (palm),0.07614600636746667
Abidjan,Peanut,0.11306603633022858
Abidjan,Plantains,0.17847199290715685
Abidjan,"Rice (denikassia, imported)",0.05210913853481539
Abidjan,Rice (imported),0.05380145233441125
Abidjan,Rice (local),0.06844463252526808
Abidjan,Yam,0.1891205714965083
Abidjan,Yam (florido),0.2798561138235941
Abim,Beans,0.14535202263860322
Abim,Cassava flour,0.15870148586626914
Abim,Maize (white),0.09860470772799684
Abim,Maize flour,0.10006163066816766
Abim,Millet,0.1708677802259037
Abim,Oil (vegetable),0.33286650588782746
Abim,Sorghum,0.11261293650992214
Abyan,Beans (kidney red),4.817164626533292
Abyan,Beans (white),3.470864501998934
Abyan,Eggs,0.3060532873841004
Abyan,Exchange rate (unofficial),2.3032670256825716
